question,answer
Czym są Promises w JavaScript?,"('**Promises (Obietnice)** w JavaScript to obiekty, które reprezentują ostateczne zakończenie (lub niepowodzenie) operacji asynchronicznej i jej wynikową wartość. Działają jako kontener na przyszłą wartość.\n\n### Problem Rozwiązywany przez Promises\n\nPromises zostały wprowadzone, aby rozwiązać problem **Callback Hell (Piekła wywołań zwrotnych)**. W tradycyjnym programowaniu asynchronicznym, wiele zagnieżdżonych wywołań zwrotnych (callbacków) utrudniało czytanie, utrzymywanie i obsługę błędów w kodzie. Promises wprowadzają sekwencyjny i bardziej płaski sposób zarządzania przepływem sterowania asynchronicznego.\n\n### Trzy Kluczowe Stany Obiektu Promise\n\nObiekt Promise zawsze znajduje się w jednym z trzech wzajemnie wykluczających się stanów:\n\n1.  **Pending (Oczekujący):** Stan początkowy; operacja asynchroniczna jeszcze się nie zakończyła (nie została ani spełniona, ani odrzucona).\n2.  **Fulfilled/Resolved (Spełniony):** Oznacza, że operacja asynchroniczna zakończyła się **sukcesem**, a obietnica ma dostępną wartość wynikową.\n3.  **Rejected (Odrzucony):** Oznacza, że operacja asynchroniczna zakończyła się **niepowodzeniem** (błędem), a obietnica ma dostępny powód odrzucenia (error).\n\nObietnica jest stabilna (settled) i **niezmienna** (immutable), gdy przechodzi ze stanu *Pending* do *Fulfilled* lub *Rejected*.\n\n### Przykłady Użycia Metod\n\nPo utworzeniu obiektu Promise, można dołączyć do niego akcje, które mają zostać wykonane po spełnieniu lub odrzuceniu obietnicy, używając metod łańcuchowych (chaining):\n\n#### 1. `.then()`\n\nMetoda `.then()` służy do obsługi rezultatu spełnionej obietnicy. Może przyjmować dwa argumenty: funkcję obsługi sukcesu i opcjonalną funkcję obsługi błędu.\n\n```javascript\npobierzDane()\n    .then(wynik => {\n        // Wykonywane, gdy Promise jest Fulfilled\n        console.log(""Dane pobrane:"", wynik);\n    });\n```\n\n#### 2. `.catch()`\n\nMetoda `.catch()` jest skrótem dla `.then(null, obsługaBłędu)` i służy do obsługi błędów (obietnicy w stanie *Rejected*).\n\n```javascript\npobierzDane()\n    .then(wynik => {\n        // ... sukces\n    })\n    .catch(blad => {\n        // Wykonywane, gdy Promise jest Rejected\n        console.error(""Wystąpił błąd:"", blad);\n    });\n```\n\n**Dodatkowy fakt:** Promise Chain (łączenie obietnic) jest możliwe, ponieważ metody `.then()` i `.catch()` same zwracają nową Obietnicę, pozwalając na sekwencyjne przetwarzanie asynchroniczne. Mechanizm ten jest bazą dla składni **`async/await`** (wprowadzonej w ES2017), która jest tylko cukrem składniowym nad klasycznymi Promises.', False, 'None')"
Co to jest klucz główny (Primary Key)?,"('**Klucz główny (Primary Key)** to kolumna (lub zestaw kolumn) w relacyjnej bazie danych, która jednoznacznie identyfikuje każdy wiersz (rekord) w tabeli. Jest to fundamentalny element zapewniający integralność danych.\n\n### Kluczowe Cechy (Wymagania)\n\nAby kolumna mogła funkcjonować jako klucz główny, musi spełniać dwa kluczowe ograniczenia (constraints):\n\n1.  **Unikatowość (Uniqueness):** Wartość klucza głównego musi być unikalna w każdym wierszu tabeli. Nie mogą istnieć dwa rekordy z tą samą wartością klucza.\n2.  **Niepustość (NOT NULL):** Wartość klucza głównego nie może być pusta (NULL). Musi mieć zawsze przypisaną wartość.\n\n### Cel Stosowania Klucza Głównego\n\nGłównym celem stosowania klucza głównego jest:\n\n*   **Identyfikacja:** Zapewnienie szybkiego i jednoznacznego sposobu odwoływania się do pojedynczego rekordu.\n*   **Integralność Encji:** Utrzymanie spójności danych poprzez wymuszenie unikalności i niepustości.\n*   **Wydajność:** Klucze główne są automatycznie indeksowane, co przyspiesza operacje wyszukiwania i odzyskiwania danych.\n\n### Relacja Klucz Główny (Primary Key) a Klucz Obcy (Foreign Key)\n\nKlucz obcy to mechanizm stosowany do ustanawiania i wymuszania relacji między dwiema tabelami.\n\n*   **Klucz Główny (PK):** Definiuje rekord unikalnie w **tabeli źródłowej (tabeli rodzica)**.\n*   **Klucz Obcy (FK):** Jest to kolumna w **tabeli docelowej (tabeli dziecka)**, która odwołuje się do klucza głównego innej tabeli.\n\nKlucz obcy zapewnia **Integralność Referencyjną**, gwarantując, że wartości w kolumnie FK w tabeli dziecka zawsze odpowiadają istniejącym wartościom PK w tabeli rodzica, zapobiegając tym samym „wiszącym” rekordom.\n\n**Fakt dodatkowy:** Jeśli klucz główny składa się z więcej niż jednej kolumny, nazywany jest **kluczem złożonym (Composite Key)**. Wszystkie kolumny w kluczu złożonym muszą być niepuste i ich *kombinacja* musi być unikalna w obrębie tabeli.', False, 'None')"
Czym jest framework React?,"('**React (często nazywany ReactJS)** to otwarta biblioteka JavaScript służąca do budowania interfejsów użytkownika (UI). Została stworzona i jest utrzymywana przez firmę Meta (dawniej Facebook). React koncentruje się na warstwie widoku (View Layer) w architekturze MVC.\n\n### Kluczowe Koncepcje Działania\n\nDziałanie React opiera się na dwóch fundamentalnych koncepcjach:\n\n1.  **Komponenty (Components):**\n    *   Interfejs użytkownika jest dzielony na niezależne, wielokrotnego użytku bloki kodu. Komponenty mogą być definiowane jako funkcje (Functional Components) lub klasy (Class Components).\n    *   Zarządzają one własnym stanem (State) i przyjmują dane wejściowe (Props – Properties).\n\n2.  **Virtual DOM (Wirtualny DOM):**\n    *   Jest to lekka, abstrakcyjna kopia rzeczywistego Document Object Model (DOM) przechowywana w pamięci.\n    *   Gdy stan komponentu się zmienia, React najpierw aktualizuje Virtual DOM. Następnie porównuje (operacja *diffing*) nowy stan Virtual DOM ze starym, identyfikując minimalną liczbę zmian potrzebnych do odświeżenia strony.\n    *   Dzięki temu React aktualizuje tylko te węzły w Rzeczywistym DOM, które faktycznie się zmieniły, co drastycznie optymalizuje wydajność w porównaniu do bezpośredniej manipulacji Rzeczywistym DOM.\n\n### Podstawowe Zalety w Tworzeniu UI\n\n*   **Deklaratywny charakter:** Programista opisuje, jak interfejs powinien wyglądać w danym stanie, a React zajmuje się efektywną aktualizacją DOM.\n*   **Wielokrotne użycie:** Komponenty mogą być używane w różnych miejscach aplikacji, co przyspiesza rozwój i poprawia spójność kodu.\n*   **Wydajność:** Dzięki mechanizmowi Virtual DOM, renderowanie i aktualizacje są szybkie.\n*   **Ekosystem:** React posiada jeden z największych i najbardziej dojrzałych ekosystemów w świecie front-endu (np. React Router, Redux/Zustand do zarządzania stanem, narzędzia deweloperskie).\n\n**Dodatkowy fakt:** Chociaż React jest pierwotnie biblioteką front-endową, dzięki **React Native** (oddzielny projekt) można używać tej samej deklaratywnej składni i logiki do tworzenia natywnych aplikacji mobilnych na iOS i Androida.', False, 'None')"
Co to jest CI/CD?,"(""Akronim **CI/CD** odnosi się do zestawu praktyk w inżynierii oprogramowania mających na celu automatyzację, przyspieszenie i poprawę jakości procesu dostarczania oprogramowania.\n\n### Rozwinięcie i Definicja\n\n| Akronim | Pełna Nazwa | Definicja |\n| :--- | :--- | :--- |\n| **CI** | **Ciągła Integracja (Continuous Integration)** | Jest to praktyka, w której programiści regularnie (wiele razy dziennie) integrują swoje zmiany kodu w głównym repozytorium. Każda integracja jest natychmiast automatycznie weryfikowana przez kompilacje i zautomatyzowane testy. |\n| **CD** | **Ciągłe Dostarczanie (Continuous Delivery)** / **Ciągłe Wdrażanie (Continuous Deployment)** | Obejmuje automatyzację całego procesu po CI. |\n\n**Ciągłe Dostarczanie (Continuous Delivery - CD)**: Kod jest gotowy do wdrożenia po pomyślnym przejściu wszystkich testów i jest przechowywany w repozytorium artefaktów. Wdrożenie do produkcji wymaga jednak **manualnej** akceptacji.\n\n**Ciągłe Wdrażanie (Continuous Deployment - CD)**: Jest to rozszerzenie Continuous Delivery, gdzie *każda* zmiana kodu, która pomyślnie przejdzie wszystkie etapy pipeline'u (w tym testy akceptacyjne), jest **automatycznie** wdrażana do środowiska produkcyjnego, bez interwencji człowieka.\n\n### Korzyści Wdrożenia CI/CD\n\nWdrożenie w pełni zautomatyzowanego pipeline’u CI/CD przynosi znaczące korzyści:\n\n1.  **Szybszy Czas Wprowadzenia na Rynek (Time-to-Market):** Automatyzacja minimalizuje opóźnienia i pozwala na częste, małe wydania.\n2.  **Mniej Błędów w Produkcji:** Wczesne i częste testowanie w CI szybko wykrywa błędy integracji i regresje, zanim trafią do dalszych etapów.\n3.  **Łatwiejsza Izolacja Błędów:** Ponieważ zmiany są małe i wdrażane często, łatwo jest określić, który konkretny commit spowodował problem.\n4.  **Zwiększona Jakość i Stabilność:** Automatyczne testowanie (jednostkowe, integracyjne, wydajnościowe) zapewnia wyższą jakość produktu.\n\n**Fakt dodatkowy:** Typowy pipeline CI/CD jest realizowany za pomocą narzędzi orkiestracji, takich jak **Jenkins, GitLab CI, GitHub Actions** czy **Azure DevOps**, które zarządzają kolejnymi krokami (kompilacja, testowanie, budowanie obrazów Docker, wdrożenie)."", False, 'None')"
Czym jest typowanie statyczne?,"('**Klucz główny (Primary Key)** to kolumna (lub zestaw kolumn) w relacyjnej bazie danych, która jednoznacznie identyfikuje każdy wiersz (rekord) w tabeli. Jest to fundamentalny element zapewniający integralność danych.\n\n### Kluczowe Cechy (Wymagania)\n\nAby kolumna mogła funkcjonować jako klucz główny, musi spełniać dwa kluczowe ograniczenia (constraints):\n\n1.  **Unikatowość (Uniqueness):** Wartość klucza głównego musi być unikalna w każdym wierszu tabeli. Nie mogą istnieć dwa rekordy z tą samą wartością klucza.\n2.  **Niepustość (NOT NULL):** Wartość klucza głównego nie może być pusta (NULL). Musi mieć zawsze przypisaną wartość.\n\n### Cel Stosowania Klucza Głównego\n\nGłównym celem stosowania klucza głównego jest:\n\n*   **Identyfikacja:** Zapewnienie szybkiego i jednoznacznego sposobu odwoływania się do pojedynczego rekordu.\n*   **Integralność Encji:** Utrzymanie spójności danych poprzez wymuszenie unikalności i niepustości.\n*   **Wydajność:** Klucze główne są automatycznie indeksowane, co przyspiesza operacje wyszukiwania i odzyskiwania danych.\n\n### Relacja Klucz Główny (Primary Key) a Klucz Obcy (Foreign Key)\n\nKlucz obcy to mechanizm stosowany do ustanawiania i wymuszania relacji między dwiema tabelami.\n\n*   **Klucz Główny (PK):** Definiuje rekord unikalnie w **tabeli źródłowej (tabeli rodzica)**.\n*   **Klucz Obcy (FK):** Jest to kolumna w **tabeli docelowej (tabeli dziecka)**, która odwołuje się do klucza głównego innej tabeli.\n\nKlucz obcy zapewnia **Integralność Referencyjną**, gwarantując, że wartości w kolumnie FK w tabeli dziecka zawsze odpowiadają istniejącym wartościom PK w tabeli rodzica, zapobiegając tym samym „wiszącym” rekordom.\n\n**Fakt dodatkowy:** Jeśli klucz główny składa się z więcej niż jednej kolumny, nazywany jest **kluczem złożonym (Composite Key)**. Wszystkie kolumny w kluczu złożonym muszą być niepuste i ich *kombinacja* musi być unikalna w obrębie tabeli.', True, 'None')"
Co to jest CSS Grid?,"('**CSS Grid Layout** (Siatka CSS) to dwuwymiarowy system układu dla CSS, który umożliwia podział przestrzeni na wiersze i kolumny, ułatwiając projektowanie złożonych, strukturalnych układów interfejsu użytkownika (UI).\n\n### Różnica między Grid a Flexbox\n\nKluczowa różnica polega na wymiarowości:\n\n*   **Grid:** Jest systemem **dwuwymiarowym** (2D). Pozwala na jednoczesne zarządzanie układem w wierszach i kolumnach, idealnie nadając się do tworzenia układu całej strony.\n*   **Flexbox:** Jest systemem **jednowymiarowym** (1D). Służy do rozmieszczania elementów wzdłuż jednej osi (poziomej lub pionowej) i jest lepszy do dystrybucji, wyrównania i sortowania małych komponentów wewnątrz większego kontenera.\n\n**Fakt dodatkowy:** Chociaż są różne, Flexbox i Grid nie są wykluczające — często stosuje się je razem (Grid do makro-układu, Flexbox do mikro-układu wewnątrz komórek Grid).\n\n### Kluczowe Elementy\n\nW Grid Layout kontrola nad układem odbywa się poprzez definicję kontenera siatki (`display: grid`) i jej zawartości:\n\n1.  **Definicja Wierszy i Kolumn:**\n    *   `grid-template-columns`: Definiuje liczbę i rozmiar kolumn.\n    *   `grid-template-rows`: Definiuje liczbę i rozmiar wierszy.\n    *   W definicjach tych często używa się jednostki `fr` (fraction), która reprezentuje dostępną przestrzeń w kontenerze, umożliwiając responsywne skalowanie.\n2.  **Umieszczanie Elementów:**\n    *   Elementy potomne (Grid Items) są umieszczane w siatce za pomocą właściwości: `grid-row-start`, `grid-row-end`, `grid-column-start`, `grid-column-end` (lub skróconych `grid-area`/`grid-column`/`grid-row`).\n\n### Scenariusze Zastosowania\n\nGrid jest najlepiej stosowany, gdy:\n\n1.  **Projektuje się główny układ strony (Layout):** Tworzenie stałych nagłówków, stopek, pasków bocznych i sekcji głównej.\n2.  **Wymagana jest kontrola w 2D:** Np. skomplikowane układy galerii, panele dashboardów, formularze wielokolumnowe.\n3.  **Wymagana jest zmiana kolejności na podstawie układu (a nie kodu HTML):** Możliwość umieszczenia elementów w dowolnej komórce siatki niezależnie od ich kolejności w kodzie źródłowym.', False, 'None')"
Wyjaśnij wzorzec Singleton.,"('Wzorzec projektowy **Singleton** (Jedynak) to wzorzec kreacyjny, który gwarantuje, że dana klasa ma **tylko jedną instancję** w całej aplikacji, a jednocześnie zapewnia globalny punkt dostępu do tej instancji.\n\n### Kluczowy Cel\n\nGłównym celem wzorca Singleton jest ścisła kontrola nad liczbą instancji klasy. Jest to szczególnie przydatne, gdy istnieje potrzeba, aby dokładnie jeden obiekt koordynował działania w systemie lub zarządzał zasobami globalnymi.\n\n### Sposób Implementacji\n\nTypowa implementacja Singletona wymaga spełnienia następujących kroków:\n\n1.  **Prywatny Konstruktor:** Ustawienie konstruktora klasy jako prywatnego, aby uniemożliwić tworzenie nowych instancji za pomocą operatora `new` z zewnątrz.\n2.  **Statyczna Zmienna Instancji:** Zdefiniowanie prywatnego, statycznego pola wewnątrz klasy, które będzie przechowywać jedyną instancję.\n3.  **Statyczna Metoda Fabrykująca:** Utworzenie publicznej, statycznej metody (często nazywanej `getInstance()` lub `instance()`), która:\n    *   Sprawdza, czy instancja już istnieje.\n    *   Jeśli nie istnieje, tworzy ją i przypisuje do statycznego pola.\n    *   Jeśli istnieje, zwraca istniejącą instancję.\n\n### Zalety i Wady Stosowania\n\n| Cecha | Zalety | Wady |\n| :--- | :--- | :--- |\n| **Kontrola Zasobów** | Idealny do zarządzania zasobami, które powinny być współdzielone globalnie (np. połączenia z bazą danych, konfiguracja, logery). | Maskuje złe praktyki projektowe; często staje się obiektem globalnym, co zwiększa silne sprzężenie (tight coupling) między modułami. |\n| **Lazy Loading** | Instancja jest tworzona tylko wtedy, gdy jest faktycznie potrzebna. | W środowiskach wielowątkowych wymaga dodatkowej synchronizacji (np. użycia słowa kluczowego `synchronized` w Javie), co może obniżyć wydajność. |\n| **Testowanie** | Prosty dostęp do instancji. | Utrudnia testowanie jednostkowe, ponieważ globalny stan Singletona jest trudny do izolowania, resetowania lub zastąpienia atrapami (mocks). |\n\n**Fakt dodatkowy:** Chociaż Singleton jest prosty w implementacji, w nowoczesnym programowaniu obiektowym często jest uważany za **antywzorzec** (anti-pattern). Lepszą, bardziej testowalną alternatywą w wielu przypadkach jest użycie technik **Wstrzykiwania Zależności (Dependency Injection)**.', False, 'None')"
Czym jest funkcja lambda?,"('**Funkcja lambda (wyrażenie lambda)** to mała, anonimowa funkcja zdefiniowana w pojedynczej linii kodu. Wiele języków programowania (w tym Python, JavaScript, Java) wspiera funkcje lambda jako zwięzły sposób tworzenia funkcji bez konieczności nadawania im formalnej nazwy.\n\n### Kluczowe Cechy\n\n1.  **Anonimowość (Brak Nazwy):** Funkcje lambda nie są definiowane za pomocą standardowego słowa kluczowego (`def` w Pythonie, `function` w JS), dlatego nie mają nazwy. Są to funkcje jednorazowego użytku.\n2.  **Kompaktowość:** Lambda jest zaprojektowana do wykonywania prostych, pojedynczych wyrażeń. Jest idealna jako argument przekazywany do funkcji wyższego rzędu (np. `map`, `filter`).\n\n### Typowa Skondensowana Składnia\n\nSkładnia funkcji lambda jest zazwyczaj skrócona i zorientowana na minimalizm.\n\n**W Pythonie:**\n```python\nlambda argumenty: wyrażenie_zwracające_wartość\n```\n*Przykład:* `dodaj = lambda x, y: x + y`\n\n**W JavaScript (Arrow Functions, które są formą lambda):**\n```javascript\n(argumenty) => wyrażenie_zwracające_wartość\n```\n*Przykład:* `dodaj = (x, y) => x + y`\n\n### Ograniczenia w Porównaniu do Zwykłych Funkcji\n\nFunkcje lambda mają celowe ograniczenia, które odróżniają je od standardowych funkcji:\n\n1.  **Jedno Wyrażenie:** Funkcja lambda może zawierać tylko jedno wyrażenie. Wartość tego wyrażenia jest automatycznie zwracana. Nie można w niej umieszczać wielu instrukcji (np. pętli, warunków wieloliniowych, przypisań).\n2.  **Brak Dokumentacji:** Z powodu ich zwięzłej natury, lambda nie obsługuje pełnej dokumentacji (docstrings) ani adnotacji typów w takim stopniu jak funkcje nazwane.\n3.  **Brak Złożonej Logiki:** Są nieodpowiednie do implementowania złożonych operacji. Służą tylko do prostych transformacji lub predykatów.\n4.  **Brak Pełnej Kontroli:** Nie mogą bezpośrednio zawierać słowa kluczowego `return` (jest ono dorozumiane).\n\n**Dodatkowy fakt:** Funkcje lambda są ściśle powiązane z paradygmatem **programowania funkcyjnego**, w którym funkcje są traktowane jako obiekty pierwszej klasy i mogą być przekazywane jako argumenty lub zwracane jako wyniki innych funkcji.', False, 'None')"
Co to jest JSON?,"('**JSON (JavaScript Object Notation)** to lekki format wymiany danych, który jest łatwy do odczytania dla ludzi i łatwy do parsowania oraz generowania przez maszyny. Pomimo nazwy, jest to format **niezależny od języka**, chociaż jego składnia wywodzi się z JavaScriptu.\n\n### Główny Cel\n\nGłównym celem JSON jest służyć jako uniwersalny sposób przesyłania strukturalnych danych między różnymi systemami komputerowymi. Jest to obecnie dominujący format używany w komunikacji typu klient-serwer, zwłaszcza w kontekście **interfejsów API RESTful** oraz nowoczesnych aplikacji webowych.\n\n### Podstawowe Struktury Danych\n\nJSON jest zbudowany wyłącznie z dwóch uniwersalnych struktur danych:\n\n1.  **Obiekt (Object):** Reprezentowany przez nawiasy klamrowe `{}`. Jest to nieuporządkowany zbiór par **nazwa/wartość** (klucz/wartość). Nazwy (klucze) muszą być ciągami znaków ujętymi w cudzysłów.\n    *   *Przykład:* `{""imie"": ""Anna"", ""wiek"": 30}`\n2.  **Tablica (Array):** Reprezentowana przez nawiasy kwadratowe `[]`. Jest to uporządkowana lista wartości. Wartości w tablicy mogą być dowolnego typu (string, numer, inny obiekt, inna tablica).\n    *   *Przykład:* `[""jabłko"", ""banan"", ""pomarańcza""]`\n\nJSON obsługuje również następujące typy wartości pierwotnych: ciągi znaków (string), liczby (number), logiczne (boolean: `true`, `false`) oraz `null`.\n\n### Zalety w Kontekście Komunikacji Sieciowej\n\n1.  **Czytelność dla Człowieka:** Składnia jest prosta i intuicyjna.\n2.  **Lekkość:** JSON jest znacznie krótszy i mniej „gadatliwy” (verbose) niż jego historyczny konkurent, XML, co redukuje rozmiar przesyłanych danych.\n3.  **Wsparcie Językowe:** Ze względu na jego pochodzenie, jest natywnie wspierany w JavaScript (bezpośrednie mapowanie na obiekty i tablice). Ponadto, niemal każdy współczesny język programowania posiada wbudowane lub łatwo dostępne narzędzia do parsowania JSON.\n4.  **Szybkość Parsowania:** Maszyny mogą go szybko przetwarzać, co jest kluczowe dla szybkich połączeń API.\n\n**Fakt dodatkowy:** Chociaż składnia JSON jest podzbiorem składni JavaScript, standard JSON nie pozwala na przechowywanie funkcji, dat jako typów natywnych (są one przechowywane jako ciągi znaków) ani komentarzy.', False, 'None')"
Czym jest wskaźnik (pointer) w C++?,"('**Wskaźnik (pointer)** w C++ to zmienna, która przechowuje **adres pamięci** innej zmiennej. Zamiast przechowywać dane bezpośrednio, wskaźnik przechowuje informację o lokalizacji, gdzie te dane się znajdują.\n\n### Kluczowa Funkcja\n\nKluczową funkcją wskaźnika jest umożliwienie **pośredniego dostępu** do danych oraz zarządzanie pamięcią. Wskaźniki są niezbędne do:\n\n1.  Dynamicznego przydzielania pamięci na stercie (Heap) za pomocą `new` i zwalniania za pomocą `delete`.\n2.  Efektywnego przekazywania dużych obiektów do funkcji bez kopiowania całej zawartości.\n\n### Podstawowa Składnia Operacji\n\nW C++ używa się dwóch głównych operatorów związanych ze wskaźnikami:\n\n| Operator | Nazwa operacji | Działanie | Przykład użycia |\n| :--- | :--- | :--- | :--- |\n| **`&`** | **Pobranie adresu (Address-of Operator)** | Zwraca adres pamięci zmiennej. | `int *wskaznik = &zmienna;` |\n| **`*`** | **Dereferencja (Dereference Operator)** | Odwołuje się do wartości przechowywanej pod adresem, na który wskazuje wskaźnik. | `int wartosc = *wskaznik;` |\n\n**Deklaracja:** Aby zadeklarować wskaźnik, używa się symbolu `*`: `int *ptr_liczba;` (deklaruje wskaźnik, który może wskazywać na zmienną typu `int`).\n\n### Typowe Scenariusze Zastosowania\n\nWskaźniki są fundamentalne w programowaniu systemowym i niskopoziomowym:\n\n1.  **Zarządzanie Pamięcią Dynamiczną:** Przydzielanie pamięci sterty dla struktur danych o nieznanym z góry rozmiarze (np. listy połączone, drzewa).\n2.  **Tablice i Arytmetyka Wskaźników:** Wskaźniki są ściśle powiązane z tablicami (nazwa tablicy często jest wskaźnikiem na jej pierwszy element), umożliwiając efektywną nawigację.\n3.  **Implementacja Struktur Danych:** Budowanie złożonych struktur danych (grafy, drzewa, listy) wymaga użycia wskaźników do łączenia węzłów.\n4.  **Współpraca z Interfejsami Systemowymi:** Operacje na plikach, pamięci współdzielonej czy bezpośredni dostęp do sprzętu (w kodzie niskopoziomowym).\n\n**Fakt dodatkowy:** Chociaż wskaźniki surowe (`raw pointers`) dają dużą kontrolę, są głównym źródłem błędów w C++ (wycieki pamięci, zawieszające wskaźniki). W nowoczesnym C++ zaleca się używanie **inteligentnych wskaźników (smart pointers)**, takich jak `std::unique_ptr` i `std::shared_ptr`, które automatyzują proces zwalniania pamięci, minimalizując ryzyko wycieków.', False, 'None')"
